mutant_id,operator,file,line,killed,failing_tests
SUT3-M0001,cmp,flaskr/auth.py,53,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_027_0.py
SUT3-M0002,cmp,flaskr/auth.py,87,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_007_0.py
SUT3-M0003,ret-none,flaskr/auth.py,29,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_005_2.py
SUT3-M0004,ret-none,flaskr/auth.py,81,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_027_0.py
SUT3-M0005,ret-none,flaskr/auth.py,109,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_007_0.py
SUT3-M0006,ret-none,flaskr/auth.py,116,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_011_1.py::test_logout_unauthenticated_still_redirects_302_to_root
SUT3-M0007,ret-none,flaskr/auth.py,27,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_021_0.py
SUT3-M0008,ret-none,flaskr/auth.py,25,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_017_4.py
SUT3-M0009,ret-none,flaskr/auth.py,105,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_043_0.py
SUT3-M0010,ret-none,flaskr/auth.py,77,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_035_0.py
SUT3-M0011,cmp,flaskr/blog.py,64,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_015_0.py::test_create_post_valid_redirects
SUT3-M0012,cmp,flaskr/blog.py,92,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_013_1.py::test_authenticated_user_can_access_own_post_update
SUT3-M0013,cmp,flaskr/blog.py,54,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_021_0.py
SUT3-M0014,bool,flaskr/blog.py,54,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_021_0.py
SUT3-M0015,const,flaskr/blog.py,52,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_021_4.py
SUT3-M0016,const,flaskr/blog.py,52,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_021_4.py
SUT3-M0017,const,flaskr/blog.py,55,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_021_4.py
SUT3-M0018,const,flaskr/blog.py,55,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_021_3.py
SUT3-M0019,ret-none,flaskr/blog.py,25,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_032_0.py
SUT3-M0020,ret-none,flaskr/blog.py,57,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_013_1.py::test_authenticated_user_can_access_own_post_update
SUT3-M0021,ret-none,flaskr/blog.py,83,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_015_1.py::test_create_post_missing_title_no_redirect
SUT3-M0022,ret-none,flaskr/blog.py,110,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_013_1.py::test_authenticated_user_can_access_own_post_update
SUT3-M0023,ret-none,flaskr/blog.py,125,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_021_0.py
SUT3-M0024,ret-none,flaskr/blog.py,81,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_021_0.py
SUT3-M0025,ret-none,flaskr/blog.py,108,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_040_0.py::test_update_with_valid_title_succeeds
SUT3-M0026,bool_const,flaskr/blog.py,28,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_021_3.py
SUT3-M0027,ret-none,flaskr/db.py,20,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_017_4.py
SUT3-M0028,ret-none,flaskr/__init__.py,48,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_007_0.py
SUT3-M0029,ret-none,flaskr/__init__.py,28,0,
SUT3-M0030,bool_const,flaskr/__init__.py,8,0,
SUT3-M0031,bool_const,flaskr/__init__.py,24,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_005_2.py
SUT3-M0032,bool_const,flaskr/__init__.py,18,1,../../harness/sonnet_seed2/ablation/sut3_flaskr/test_gen_r_flaskr_005_2.py
