mutant_id,operator,file,line,killed,failing_tests
SUT1-M0001,cmp,httpbin/core.py,553,1,../../harness/sonnet_seed2/full/sut1_httpbin/test_gen_r_httpbin_048_0.py
SUT1-M0002,cmp,httpbin/core.py,555,1,../../harness/sonnet_seed2/full/sut1_httpbin/test_gen_r_httpbin_048_0.py
SUT1-M0003,cmp,httpbin/core.py,557,1,../../harness/sonnet_seed2/full/sut1_httpbin/test_gen_r_httpbin_048_1.py
SUT1-M0004,cmp,httpbin/core.py,640,1,../../harness/sonnet_seed2/full/sut1_httpbin/test_gen_r_httpbin_026_0.py
SUT1-M0005,cmp,httpbin/core.py,640,1,../../harness/sonnet_seed2/full/sut1_httpbin/test_gen_r_httpbin_026_0.py
SUT1-M0006,bool,httpbin/core.py,839,0,
SUT1-M0007,bool,httpbin/core.py,640,0,
SUT1-M0008,const,httpbin/core.py,637,1,../../harness/sonnet_seed2/full/sut1_httpbin/test_gen_r_httpbin_024_0.py
SUT1-M0009,const,httpbin/core.py,637,1,../../harness/sonnet_seed2/full/sut1_httpbin/test_gen_r_httpbin_024_0.py
SUT1-M0010,const,httpbin/core.py,553,1,../../harness/sonnet_seed2/full/sut1_httpbin/test_gen_r_httpbin_024_0.py
SUT1-M0011,const,httpbin/core.py,553,0,
SUT1-M0012,const,httpbin/core.py,557,1,../../harness/sonnet_seed2/full/sut1_httpbin/test_gen_r_httpbin_048_1.py
SUT1-M0013,const,httpbin/core.py,557,1,../../harness/sonnet_seed2/full/sut1_httpbin/test_gen_r_httpbin_048_1.py
SUT1-M0014,const,httpbin/core.py,766,0,
SUT1-M0015,const,httpbin/core.py,766,1,../../harness/sonnet_seed2/full/sut1_httpbin/test_gen_r_httpbin_016_0.py
SUT1-M0016,const,httpbin/core.py,967,1,../../harness/sonnet_seed2/full/sut1_httpbin/test_gen_r_httpbin_016_0.py
SUT1-M0017,const,httpbin/core.py,967,1,../../harness/sonnet_seed2/full/sut1_httpbin/test_gen_r_httpbin_018_1.py
SUT1-M0018,const,httpbin/core.py,640,1,../../harness/sonnet_seed2/full/sut1_httpbin/test_gen_r_httpbin_018_1.py
SUT1-M0019,const,httpbin/core.py,640,0,
SUT1-M0020,const,httpbin/core.py,640,0,
SUT1-M0021,const,httpbin/core.py,640,1,../../harness/sonnet_seed2/full/sut1_httpbin/test_gen_r_httpbin_026_4.py
SUT1-M0022,const,httpbin/core.py,759,1,../../harness/sonnet_seed2/full/sut1_httpbin/test_gen_r_httpbin_017_2.py
