mutant_id,operator,file,line,killed,failing_tests
SUT2-M0001,cmp,routes/player_route.py,224,0,
SUT2-M0002,const,routes/player_route.py,36,0,
SUT2-M0003,const,routes/player_route.py,36,0,
SUT2-M0004,const,routes/player_route.py,49,0,
SUT2-M0005,const,routes/player_route.py,49,0,
SUT2-M0006,const,routes/player_route.py,197,0,
SUT2-M0007,const,routes/player_route.py,197,0,
SUT2-M0008,ret-none,routes/player_route.py,89,0,
SUT2-M0009,ret-none,routes/player_route.py,121,1,../../harness/sonnet_seed2/full/sut2_fastapi_restful/test_gen_r_player_001_2.py
SUT2-M0010,ret-none,routes/player_route.py,152,0,
SUT2-M0011,ret-none,routes/player_route.py,185,0,
SUT2-M0012,cmp,services/player_service.py,111,0,
SUT2-M0013,ret-none,services/player_service.py,78,1,../../harness/sonnet_seed2/full/sut2_fastapi_restful/test_gen_r_player_001_2.py
SUT2-M0014,ret-none,services/player_service.py,95,0,
SUT2-M0015,ret-none,services/player_service.py,114,0,
SUT2-M0016,ret-none,services/player_service.py,54,0,
SUT2-M0017,ret-none,services/player_service.py,138,0,
SUT2-M0018,ret-none,services/player_service.py,151,0,
SUT2-M0019,ret-none,services/player_service.py,177,0,
SUT2-M0020,ret-none,services/player_service.py,181,0,
SUT2-M0021,ret-none,services/player_service.py,58,0,
SUT2-M0022,ret-none,services/player_service.py,155,0,
SUT2-M0023,ret-none,services/player_service.py,185,0,
SUT2-M0024,bool_const,services/player_service.py,138,0,
SUT2-M0025,bool_const,services/player_service.py,151,0,
SUT2-M0026,bool_const,services/player_service.py,177,0,
SUT2-M0027,bool_const,services/player_service.py,181,0,
SUT2-M0028,bool_const,services/player_service.py,155,0,
SUT2-M0029,bool_const,services/player_service.py,185,0,
SUT2-M0030,bool_const,models/player_model.py,42,1,../../harness/sonnet_seed2/full/sut2_fastapi_restful/test_gen_r_player_001_2.py
SUT2-M0031,bool_const,models/player_model.py,42,0,
SUT2-M0032,const,schemas/player_schema.py,21,0,
SUT2-M0033,const,schemas/player_schema.py,21,0,
SUT2-M0034,ret-none,schemas/player_schema.py,41,0,
SUT2-M0035,ret-none,schemas/player_schema.py,55,1,../../harness/sonnet_seed2/full/sut2_fastapi_restful/test_gen_r_player_001_2.py
SUT2-M0036,ret-none,schemas/player_schema.py,38,0,
SUT2-M0037,ret-none,schemas/player_schema.py,40,0,
SUT2-M0038,ret-none,schemas/player_schema.py,54,0,
SUT2-M0039,bool_const,schemas/player_schema.py,22,0,
SUT2-M0040,bool_const,schemas/player_schema.py,91,1,../../harness/sonnet_seed2/full/sut2_fastapi_restful/test_gen_r_player_001_1.py
SUT2-M0041,bool_const,schemas/player_schema.py,93,0,
SUT2-M0042,bool_const,schemas/player_schema.py,95,0,
SUT2-M0043,bool_const,schemas/player_schema.py,97,0,
SUT2-M0044,bool_const,schemas/player_schema.py,101,0,
SUT2-M0045,bool_const,schemas/player_schema.py,101,0,
SUT2-M0046,bool_const,schemas/player_schema.py,102,0,
