mutant_id,operator,file,line,killed,failing_tests
SUT4-M0001,const,app/main.py,48,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_004_0.py
SUT4-M0002,const,app/main.py,48,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_004_0.py
SUT4-M0003,const,app/main.py,49,0,
SUT4-M0004,const,app/main.py,49,0,
SUT4-M0005,const,app/main.py,48,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_004_0.py
SUT4-M0006,const,app/main.py,48,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_004_2.py
SUT4-M0007,const,app/main.py,49,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_004_1.py
SUT4-M0008,const,app/main.py,49,0,
SUT4-M0009,const,app/main.py,49,0,
SUT4-M0010,const,app/main.py,49,0,
SUT4-M0011,ret-none,app/main.py,21,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_018_0.py
SUT4-M0012,ret-none,app/main.py,39,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_004_0.py
SUT4-M0013,ret-none,app/main.py,54,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_004_0.py
SUT4-M0014,ret-none,app/main.py,75,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_013_4.py
SUT4-M0015,ret-none,app/main.py,97,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_010_2.py
SUT4-M0016,ret-none,app/main.py,118,0,
SUT4-M0017,cmp,app/crud.py,21,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_036_0.py
SUT4-M0018,cmp,app/crud.py,8,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_010_1.py
SUT4-M0019,const,app/crud.py,13,0,
SUT4-M0020,const,app/crud.py,13,0,
SUT4-M0021,const,app/crud.py,14,0,
SUT4-M0022,const,app/crud.py,14,0,
SUT4-M0023,ret-none,app/crud.py,8,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_010_2.py
SUT4-M0024,ret-none,app/crud.py,23,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_004_0.py
SUT4-M0025,ret-none,app/crud.py,36,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_004_0.py
SUT4-M0026,ret-none,app/crud.py,57,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_010_2.py
SUT4-M0027,ret-none,app/crud.py,69,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_011_4.py
SUT4-M0028,ret-none,app/crud.py,48,0,
SUT4-M0029,ret-none,app/crud.py,65,0,
SUT4-M0030,bool_const,app/crud.py,69,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_011_4.py
SUT4-M0031,bool_const,app/crud.py,65,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_013_1.py
SUT4-M0032,bool_const,app/crud.py,51,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_010_2.py
SUT4-M0033,const,app/schemas.py,8,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_010_2.py
SUT4-M0034,const,app/schemas.py,8,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_001_2.py::test_create_task_empty_string_title_boundary_rejected
SUT4-M0035,const,app/schemas.py,8,0,
SUT4-M0036,const,app/schemas.py,8,0,
SUT4-M0037,const,app/schemas.py,9,0,
SUT4-M0038,const,app/schemas.py,9,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_032_0.py
SUT4-M0039,const,app/schemas.py,20,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_010_2.py
SUT4-M0040,const,app/schemas.py,20,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_010_2.py
SUT4-M0041,const,app/schemas.py,20,0,
SUT4-M0042,const,app/schemas.py,20,0,
SUT4-M0043,const,app/schemas.py,21,0,
SUT4-M0044,const,app/schemas.py,21,0,
SUT4-M0045,bool_const,app/schemas.py,32,0,
SUT4-M0046,bool_const,app/schemas.py,10,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_001_0.py::test_create_task_valid_payload_returns_201_with_body
SUT4-M0047,bool_const,app/models.py,10,1,
SUT4-M0048,bool_const,app/models.py,10,0,
SUT4-M0049,bool_const,app/models.py,11,0,
SUT4-M0050,bool_const,app/models.py,11,0,
SUT4-M0051,bool_const,app/models.py,12,1,../../harness/sonnet_seed2/full/sut4_fastapi_task_manager/test_gen_r_task_015_0.py
SUT4-M0052,bool_const,app/models.py,13,0,
SUT4-M0053,bool_const,app/models.py,14,0,
SUT4-M0054,bool_const,app/models.py,15,0,
